time,amplitude
0.650265,3.8
0.65027,3.88
0.650275,3.88
0.65028,3.8
0.650285,3.8
0.65029,3.88
0.650295,0.2
0.6503,0.2
0.650305,0.28
0.65031,0.12
0.650315,0.2
0.65032,0.2
0.650325,3.8
0.65033,3.8
0.650335,3.8
0.65034,3.8
0.650345,3.88
0.65035,3.8
0.650355,3.88
0.65036,3.88
0.650365,3.88
0.65037,3.88
0.650375,3.88
0.65038,3.96
0.650385,3.96
0.65039,0.2
0.650395,0.28
0.6504,0.2
0.650405,0.28
0.65041,0.2
0.650415,0.28
0.65042,3.96
0.650425,3.96
0.65043,3.96
0.650435,3.88
0.65044,3.96
0.650445,3.96
0.65045,0.2
0.650455,0.12
0.65046,0.28
0.650465,0.2
0.65047,0.28
0.650475,0.2
0.65048,0.12
0.650485,0.2
0.65049,0.2
0.650495,0.2
0.6505,0.28
0.650505,0.2
0.65051,0.28
0.650515,3.88
0.65052,3.96
0.650525,3.88
0.65053,3.96
0.650535,3.96
0.65054,3.88
0.650545,0.2
0.65055,0.28
0.650555,0.2
0.65056,0.28
0.650565,0.2
0.65057,0.28
0.650575,3.88
0.65058,3.88
0.650585,3.8
0.65059,3.88
0.650595,3.88
0.6506,3.96
0.650605,3.88
0.65061,3.88
0.650615,3.8
0.65062,3.88
0.650625,3.88
0.65063,3.8
0.650635,3.88
0.65064,0.2
0.650645,0.2
0.65065,0.28
0.650655,0.12
0.65066,0.2
0.650665,0.2
0.65067,3.88
0.650675,3.88
0.65068,3.8
0.650685,3.8
0.65069,3.88
0.650695,3.96
0.6507,0.2
0.650705,0.28
0.65071,0.2
0.650715,0.2
0.65072,0.2
0.650725,0.28
0.65073,0.2
0.650735,0.2
0.65074,0.2
0.650745,0.2
0.65075,0.12
0.650755,0.2
0.65076,0.2
0.650765,3.88
0.65077,3.8
0.650775,3.8
0.65078,3.8
0.650785,3.88
0.65079,3.88
0.650795,0.2
0.6508,0.2
0.650805,0.2
0.65081,0.2
0.650815,0.2
0.65082,0.12
0.650825,3.96
0.65083,3.88
0.650835,3.96
0.65084,3.88
0.650845,3.96
0.65085,3.88
0.650855,3.88
0.65086,3.96
0.650865,3.96
0.65087,3.88
0.650875,3.88
0.65088,3.96
0.650885,3.96
0.65089,0.28
0.650895,0.2
0.6509,0.2
0.650905,0.2
0.65091,0.2
0.650915,0.2
0.65092,3.96
0.650925,3.96
0.65093,3.88
0.650935,3.88
0.65094,3.96
0.650945,3.88
0.65095,0.28
0.650955,0.28
0.65096,0.2
0.650965,0.28
0.65097,0.2
0.650975,0.2
0.65098,0.12
0.650985,0.2
0.65099,0.12
0.650995,0.12
0.651,0.2
0.651005,0.2
0.65101,0.2
0.651015,3.88
0.65102,3.88
0.651025,3.88
0.65103,3.88
0.651035,3.96
0.65104,3.88
0.651045,0.2
0.65105,0.2
0.651055,0.2
0.65106,0.2
0.651065,0.2
0.65107,0.2
0.651075,3.88
0.65108,3.88
0.651085,3.8
0.65109,3.88
0.651095,3.88
0.6511,3.96
0.651105,3.88
0.65111,3.88
0.651115,3.8
0.65112,3.88
0.651125,3.88
0.65113,3.88
0.651135,3.88
0.65114,0.12
0.651145,0.2
0.65115,0.2
0.651155,0.2
0.65116,0.2
0.651165,0.2
0.65117,3.88
0.651175,3.8
0.65118,3.88
0.651185,3.8
0.65119,3.8
